Run_nr ,Alpha ,Delta_Pb ,P_bar   ,T     ,rpm    ,rho   ,P001     ,P002     ,P003     ,P004    ,P005    ,P006    ,P007    ,P008    ,P009    ,P010    ,P011    ,P012    ,P013    ,P014    ,P015    ,P016    ,P017    ,P018    ,P019    ,P020    ,P021    ,P022    ,P023   ,P024   ,P025   ,P026     ,P027    ,P028    ,P029    ,P030    ,P031    ,P032    ,P033    ,P034    ,P035    ,P036   ,P037   ,P038   ,P039   ,P040   ,P041   ,P042   ,P043   ,P044   ,P045   ,P046   ,P047  ,P048  ,P049   ,P050   ,P051   ,P052   ,P053   ,P054   ,P055   ,P056   ,P057   ,P058   ,P059   ,P060   ,P061   ,P062   ,P063   ,P064   ,P065   ,P066   ,P067   ,P068   ,P069   ,P070   ,P071   ,P072   ,P073   ,P074   ,P075   ,P076   ,P077   ,P078   ,P079   ,P080   ,P081   ,P082   ,P083   ,P084   ,P085   ,P086   ,P087   ,P088   ,P089   ,P090   ,P091   ,P092   ,P093   ,P094   ,P095   ,P096   ,P097   ,P098  ,P099  ,P100  ,P101  ,P102  ,P103  ,P104  ,P105  ,P106  ,P107  ,P108  ,P109  ,P110  ,P111  ,P112  ,P113
    71 ,13.5  ,  143.47 ,1009.13 ,24.86 ,920.12 ,1.18  ,-1347.21 ,-1065.17 ,-1199.27 ,-631.97 ,-501.94 ,-399.27 ,-323.33 ,-272.12 ,-220.17 ,-176.56 ,-125.87 ,-112.59 ,-99.06  ,-90.32  ,-91.11  ,-86.82  ,-81.23  ,-82.77  ,-81.17  ,-86.5   ,-85.67  ,-82.11  ,-81.29 ,-83.14 ,-66.64 ,-1349.83 ,-53.69  ,287.77  ,280.25  ,225.75  ,187.17  ,156.47  ,137.18  ,120.46  ,105.8   ,93.05  ,82.04  ,70.89  ,62.98  ,54.52  ,46.48  ,39.18  ,33.07  ,26.89  ,22.18  ,17.38  ,12.53 , 8    ,-66.64 ,304.41 ,304.15 ,302.97 ,304.06 ,304.87 ,304.33 ,304.32 ,304.42 ,305.69 ,305.64 ,305.03 ,302.79 ,304.35 ,303    ,304.05 ,300.36 ,294.81 ,283.51 ,265.64 ,240.86 ,218.61 ,212.51 ,217.95 ,233.3  ,255.39 ,275.71 ,289.73 ,298    ,301.98 ,304.29 ,303.34 ,306.16 ,304.94 ,308.07 ,304.74 ,303.64 ,303.97 ,303.22 ,301.94 ,303.61 ,301.7  ,306.02 ,303.83 ,303.1  ,303.75 ,306.27 ,304.95 ,305.9  , 9.02 ,18.6  ,19.72 ,17.6  ,11.23 ,7.61  , 7.07 ,9.8   ,10.9  , 9.62 ,10.45 ,19.22 ,-0.96 ,-0.07 ,-0.18 ,0.08
    72 ,13.3  ,  144.07 ,1009.13 ,24.86 ,919.14 ,1.18  ,-1399.95 ,-1076.38 ,-1187    ,-642.08 ,-512.6  ,-410.58 ,-335.4  ,-286.09 ,-234.16 ,-191.15 ,-140.22 ,-120.64 ,-102.91 ,-89.39  ,-89.34  ,-84.33  ,-77.26  ,-77.84  ,-76.25  ,-81.1   ,-80.23  ,-76.38  ,-75.83 ,-77.36 ,-61.85 ,-1403.32 ,-57.87  ,288.41  ,280.67  ,225.97  ,187.52  ,156.56  ,137.54  ,120.88  ,106.39  ,93.68  ,82.83  ,71.68  ,64.02  ,55.72  ,47.88  ,40.68  ,34.8   ,28.78  ,24.28  ,19.67  ,15.06 ,10.75 ,-61.85 ,305.15 ,304.67 ,303.44 ,304.61 ,305.48 ,304.84 ,304.89 ,304.95 ,306.14 ,306.11 ,305.64 ,303.29 ,304.91 ,303.63 ,304.81 ,301.65 ,296.7  ,286.2  ,269.76 ,244.81 ,221.33 ,212.73 ,214.77 ,228.42 ,251    ,271.35 ,287.14 ,297.17 ,302.06 ,304.55 ,303.85 ,306.75 ,306.09 ,307.53 ,305.65 ,304.77 ,305.01 ,304.34 ,303.24 ,304.75 ,302.81 ,307.11 ,305.05 ,304.29 ,304.82 ,307.39 ,306.03 ,307.09 , 9.59 ,18.93 ,20.01 ,18.16 ,12.53 ,9.88  , 9.03 ,12.69 ,12.73 ,10.91 ,11.32 ,19.57 ,-0.15 ,-0.08 ,-0.28 ,-0.25
    73 ,13.1  ,  145.49 ,1009.12 ,24.86 ,919.91 ,1.18  ,-1431.57 ,-1100.72 ,-1187.9  ,-651.04 ,-520.43 ,-415.85 ,-343.39 ,-289.97 ,-237.77 ,-194.57 ,-142.77 ,-122.75 ,-104.3  ,-91.01  ,-89.76  ,-84.17  ,-77.95  ,-78.8   ,-76.59  ,-81.91  ,-80.84  ,-77.18  ,-76.25 ,-77.97 ,-62.01 ,-1434.52 ,-59.83  ,291.84  ,284.22  ,228.56  ,189.71  ,158.68  ,139.26  ,122.34  ,107.62  ,94.83  ,83.8   ,72.56  ,64.75  ,56.35  ,48.42  ,41.1   ,35.2   ,29.1   ,24.52  ,19.94  ,15.24 ,10.73 ,-62.01 ,308.79 ,308.46 ,306.98 ,308.15 ,308.95 ,308.36 ,308.32 ,308.71 ,309.86 ,309.78 ,309.28 ,307.07 ,308.54 ,307.41 ,308.3  ,305.5  ,300.95 ,291.26 ,274.98 ,249.72 ,225.04 ,215.69 ,218.26 ,230.71 ,253    ,274.27 ,290.24 ,300.23 ,305.58 ,308.36 ,307.44 ,310.61 ,308.67 ,309.95 ,308.26 ,307.24 ,307.69 ,306.86 ,305.62 ,307.27 ,305.46 ,309.7  ,307.4  ,306.68 ,307.19 ,309.85 ,308.45 ,309.63 , 9.5  ,18.73 ,19.71 ,17.88 ,12.73 ,10.03 , 8.97 ,13    ,13.02 ,11    ,11.17 ,19.33 ,-0.73 ,-0.08 ,-0.18 ,0.09
    74 ,12.9  ,  143.66 ,1009.12 ,24.88 ,920.33 ,1.18  ,-1509.41 ,-1111.43 ,-1152.04 ,-661.09 ,-532.33 ,-428.74 ,-358.22 ,-308.94 ,-258.43 ,-217.32 ,-166.93 ,-143.74 ,-118.97 ,-97.57  ,-90.22  ,-80.33  ,-71.18  ,-71     ,-68.77  ,-73.13  ,-72.98  ,-68.29  ,-67.36 ,-68.21 ,-53.84 ,-1512.23 ,-63.26  ,289.25  ,280.84  ,225.41  ,186.8   ,155.82  ,136.6   ,120     ,105.57  ,93.01  ,82.25  ,71.4   ,63.78  ,55.71  ,48.09  ,41.06  ,35.61  ,29.89  ,25.73  ,21.55  ,17.33 ,13.41 ,-53.84 ,306    ,305.5  ,304.19 ,305.24 ,306.14 ,305.66 ,305.65 ,305.84 ,307.04 ,306.91 ,306.43 ,304.26 ,305.61 ,304.44 ,305.94 ,303.53 ,300.49 ,292.73 ,278.69 ,254.89 ,228.9  ,215.82 ,213.13 ,222.33 ,244.15 ,266.92 ,284.72 ,295.66 ,301.69 ,304.9  ,304.36 ,307.68 ,304.76 ,306.75 ,304.42 ,303.16 ,303.68 ,303.06 ,301.66 ,303.33 ,301.49 ,305.71 ,303.59 ,302.89 ,303.4  ,306.13 ,304.53 ,305.6  , 9.69 ,18.63 ,19.56 ,17.82 ,13.29 ,10.78 , 9.76 ,13.75 ,13.42 ,11.36 ,11.38 ,19.26 ,-0.87 ,-0.1  ,-0.18 ,0.12
    75 ,12.7  ,  144.97 ,1009.12 ,24.88 ,919.73 ,1.18  ,-1582.83 ,-1121.67 ,-1104.73 ,-673    ,-542.55 ,-440.14 ,-373.5  ,-323.38 ,-276.02 ,-238.03 ,-190.17 ,-165.75 ,-138.34 ,-109.83 ,-94.45  ,-79.3   ,-66.03  ,-64.27  ,-60.64  ,-64.23  ,-63.13  ,-59.02  ,-57.53 ,-57.77 ,-44.67 ,-1586.4  ,-63.29  ,290     ,280.85  ,224.89  ,186.04  ,155.14  ,136.16  ,119.76  ,105.52  ,93.22  ,82.68  ,71.97  ,64.72  ,56.92  ,49.54  ,42.89  ,37.7   ,32.33  ,28.58  ,24.95  ,21.07 ,17.76 ,-44.67 ,305.85 ,305.39 ,304.28 ,305.4  ,306.19 ,305.74 ,305.68 ,305.76 ,306.95 ,306.93 ,306.47 ,304.24 ,305.63 ,304.42 ,305.88 ,304.14 ,302.55 ,297.4  ,285.35 ,263.34 ,235.77 ,219.27 ,212.95 ,219.2  ,239.63 ,263.71 ,282.89 ,295.3  ,302.08 ,305.26 ,304.74 ,307.71 ,306.99 ,309.59 ,306.56 ,305.04 ,305.99 ,305.21 ,303.89 ,305.68 ,303.63 ,308.07 ,305.82 ,305.02 ,305.68 ,308.27 ,306.86 ,307.89 ,10.39 ,19.36 ,20.27 ,18.62 ,14.62 ,11.94 ,11.12 ,15.03 ,14.33 ,12.25 ,12.2  ,20.02 ,-0.28 ,-0.1  ,-0.2  ,0.07
    76 ,12.5  ,  143.13 ,1009.11 ,24.89 ,920.09 ,1.18  ,-1572.52 ,-1103.93 ,-1072.26 ,-669.85 ,-541.26 ,-440.92 ,-375.66 ,-327.96 ,-282.04 ,-245.35 ,-198.81 ,-175.88 ,-149.24 ,-120.13 ,-101.49 ,-81.59  ,-64.66  ,-60.3   ,-55.74  ,-58.61  ,-57.72  ,-52.45  ,-51.25 ,-51.28 ,-38.45 ,-1576.53 ,-59.45  ,288.02  ,277.78  ,222.08  ,183.69  ,153.15  ,134.55  ,118.49  ,104.52  ,92.48  ,82.2   ,71.72  ,64.75  ,57.21  ,50.14  ,43.67  ,38.85  ,33.78  ,30.35  ,27.11  ,23.55 ,20.54 ,-38.45 ,303.16 ,302.85 ,301.71 ,302.79 ,303.62 ,303.15 ,303.17 ,303.19 ,304.42 ,304.26 ,303.7  ,301.53 ,303.01 ,301.86 ,303.66 ,301.99 ,300.76 ,296.43 ,285.74 ,264.93 ,237.54 ,219.66 ,210.75 ,214.72 ,234.76 ,258.52 ,279.11 ,292.78 ,299.37 ,302.65 ,302.08 ,304.97 ,307.68 ,309    ,307.14 ,305.37 ,306.54 ,305.96 ,304.57 ,306.08 ,304.15 ,308.67 ,306.56 ,305.65 ,306.06 ,308.82 ,307.28 ,308.43 , 9.86 ,18.74 ,19.6  ,17.95 ,14.39 ,11.61 ,10.9  ,14.46 ,13.9  ,11.75 ,11.64 ,19.36 ,-0.46 ,-0.08 ,-0.16 ,0.12
    77 ,12.3  ,  143    ,1009.11 ,24.89 ,920.18 ,1.179 ,-1557.92 ,-1096.64 ,-1054.03 ,-668.71 ,-542.46 ,-442.37 ,-378.37 ,-331.71 ,-290.38 ,-253.02 ,-208.19 ,-186.55 ,-160.63 ,-131.01 ,-110.74 ,-87.28  ,-66.34  ,-59.1   ,-52.18  ,-54.47  ,-52.89  ,-47.59  ,-46.1  ,-45.58 ,-32.44 ,-1562.21 ,-55.44  ,287.78  ,276.3   ,220.03  ,182.05  ,151.45  ,133.25  ,117.36  ,103.53  ,91.68  ,81.65  ,71.51  ,64.55  ,57.21  ,50.33  ,44.14  ,39.49  ,34.69  ,31.54  ,28.56  ,25.42 ,22.75 ,-32.44 ,301.84 ,301.54 ,300.44 ,301.34 ,302.22 ,301.76 ,301.8  ,301.77 ,303.02 ,302.81 ,302.39 ,300.23 ,301.76 ,300.52 ,302.32 ,300.7  ,299.98 ,296.62 ,286.97 ,267.79 ,240.34 ,220.34 ,210.11 ,213.2  ,233.29 ,257    ,277.63 ,291.37 ,298.41 ,301.54 ,300.83 ,303.48 ,303.04 ,306.06 ,302.76 ,301.22 ,301.92 ,301.39 ,299.95 ,301.66 ,299.73 ,304.04 ,301.72 ,301.09 ,301.71 ,304.39 ,303    ,303.91 , 9.43 ,18.32 ,19.2  ,17.63 ,14.47 ,11.73 ,11.22 ,14.52 ,13.55 ,11.5  ,11.39 ,18.99 ,-0.55 ,-0.11 ,-0.28 ,-0.27
    78 ,12.1  ,  144.07 ,1009.12 ,24.91 ,919.9  ,1.179 ,-1590.43 ,-1114.18 ,-1044.83 ,-681.74 ,-550.97 ,-449.53 ,-385.88 ,-338.66 ,-297.99 ,-258.43 ,-212.68 ,-190.96 ,-164.08 ,-135.17 ,-113.92 ,-90.09  ,-68.18  ,-60.05  ,-53.21  ,-54.77  ,-53.67  ,-48.15  ,-46.72 ,-46.37 ,-32.74 ,-1595.08 ,-56.63  ,290.94  ,279.58  ,222.85  ,184.18  ,153.63  ,134.75  ,118.64  ,104.66  ,92.65  ,82.46  ,72.06  ,65.13  ,57.71  ,50.74  ,44.5   ,39.8   ,34.96  ,31.77  ,28.76  ,25.61 ,22.93 ,-32.74 ,305.95 ,305.74 ,304.33 ,305.47 ,306.21 ,305.77 ,305.73 ,305.82 ,307.1  ,306.89 ,306.75 ,304.19 ,305.64 ,304.58 ,306.08 ,304.6  ,304.03 ,300.82 ,291.53 ,272.55 ,245.56 ,224.79 ,213.43 ,214.72 ,233.72 ,257.97 ,279.08 ,294.06 ,301.7  ,305.24 ,304.61 ,307.68 ,308.74 ,310    ,308.39 ,306.7  ,307.43 ,307.02 ,305.71 ,307.4  ,305.51 ,309.74 ,307.77 ,306.88 ,307.26 ,309.98 ,308.78 ,309.6  , 9.87 ,18.8  ,19.6  ,17.99 ,15.11 ,11.91 ,11.44 ,14.66 ,14.02 ,11.88 ,11.72 ,19.42 ,-0.17 ,-0.09 ,-0.16 ,0.12
    79 ,11.9  ,  145.06 ,1009.12 ,24.91 ,920.7  ,1.179 ,-1543.26 ,-1103.33 ,-1032.47 ,-681.59 ,-551.47 ,-452.19 ,-388.99 ,-345.45 ,-304.51 ,-266.66 ,-221.94 ,-204.16 ,-178.21 ,-151.84 ,-129.08 ,-104.64 ,-77.05  ,-63.31  ,-51.44  ,-50.11  ,-46.99  ,-39.76  ,-36.72 ,-37.18 ,-23.83 ,-1546.74 ,-46.91  ,291.99  ,278.21  ,221.23  ,182.86  ,152.52  ,133.87  ,117.96  ,104.23  ,92.42  ,82.47  ,72.46  ,65.6   ,58.43  ,51.68  ,45.78  ,41.36  ,36.86  ,34.04  ,31.45  ,28.85 ,26.82 ,-23.83 ,305.78 ,305.28 ,304.07 ,305.18 ,305.97 ,305.38 ,305.5  ,305.45 ,306.76 ,306.81 ,306.4  ,303.92 ,305.59 ,304.3  ,305.76 ,304.56 ,304.35 ,301.91 ,294.13 ,276.77 ,249.47 ,228.07 ,214.91 ,215.22 ,233.48 ,257.05 ,279.55 ,294.85 ,301.88 ,305.26 ,304.59 ,307.58 ,307.29 ,310.16 ,307.09 ,305.28 ,305.82 ,305.66 ,304.3  ,306.07 ,304    ,308.36 ,306.32 ,305.5  ,305.93 ,308.6  ,307.9  ,308.13 , 9.6  ,18.59 ,19.39 ,17.84 ,15.3  ,12.19 ,12.22 ,14.77 ,13.78 ,11.68 ,11.55 ,19.24 ,-0.13 ,-0.09 ,-0.2  ,-0.12
    80 ,11.7  ,  142.69 ,1009.1  ,24.91 ,920.38 ,1.179 ,-1524.74 ,-1086.59 ,-1032.17 ,-687.55 ,-556.91 ,-457.29 ,-394.16 ,-353.82 ,-311.51 ,-274.74 ,-231.13 ,-214.24 ,-189.4  ,-164.38 ,-144.31 ,-116.88 ,-88.4   ,-70.87  ,-54.99  ,-50.36  ,-43.82  ,-34.3   ,-28.83 ,-28.83 ,-18.06 ,-1528.43 ,-40.71  ,294.13  ,278.63  ,221.26  ,182.2   ,152.17  ,133.3   ,117.42  ,103.71  ,92.01  ,82.13  ,72.22  ,65.48  ,58.44  ,51.86  ,46.14  ,41.97  ,37.7   ,35.11  ,32.85  ,30.66 ,29.25 ,-18.06 ,307.26 ,306.83 ,305.52 ,306.54 ,307.39 ,307.22 ,307.07 ,307.01 ,308.24 ,308.3  ,307.91 ,305.44 ,306.93 ,305.86 ,307.25 ,306.09 ,306.42 ,304.83 ,298.74 ,283.33 ,256.43 ,233.17 ,217.39 ,214.99 ,231.51 ,256.21 ,279.77 ,295.26 ,303.21 ,306.8  ,305.95 ,309.06 ,305.36 ,306.98 ,304.93 ,303.35 ,303.6  ,303.58 ,302.38 ,303.92 ,301.91 ,306.21 ,304.15 ,303.31 ,303.86 ,306.49 ,305.92 ,306.22 ,10    ,18.84 ,19.62 ,18.06 ,15.72 ,12.69 ,12.79 ,15.07 ,14.14 ,12.04 ,11.89 ,19.52 ,-0.2  ,-0.09 ,-0.14 ,0.09
    81 ,11.5  ,  143.01 ,1009.06 ,24.92 ,920.12 ,1.179 ,-1462.91 ,-1055.51 ,-1037.51 ,-679.39 ,-549.85 ,-451.83 ,-391.77 ,-350.85 ,-310.71 ,-276.01 ,-233.83 ,-217.79 ,-195.34 ,-171.25 ,-151.69 ,-125.63 ,-96.71  ,-77.02  ,-59.29  ,-51.77  ,-41.62  ,-28.81  ,-21.85 ,-20.13 ,-10.17 ,-1465.34 ,-29.18  ,292.62  ,274.68  ,217.01  ,177.92  ,149.19  ,130.49  ,114.98  ,101.53  ,90.17  ,80.59  ,70.78  ,64.54  ,57.77  ,51.53  ,46.07  ,42.22  ,38.35  ,36.17  ,34.24  ,32.59 ,31.74 ,-10.17 ,304.55 ,304.24 ,302.79 ,303.92 ,304.63 ,304.31 ,304.25 ,303.91 ,305.57 ,305.39 ,304.9  ,302.63 ,304.14 ,303.07 ,304.51 ,303.39 ,303.8  ,302.98 ,298.2  ,284.49 ,259.39 ,235.63 ,218.5  ,214    ,230.69 ,254.56 ,277.88 ,293.61 ,300.92 ,304.06 ,303.29 ,306.25 ,305.05 ,305.92 ,304.39 ,302.97 ,303.15 ,303.06 ,301.78 ,303.4  ,301.45 ,305.81 ,303.75 ,302.96 ,303.5  ,306.1  ,305.51 ,305.84 , 9.53 ,18.45 ,19.21 ,17.66 ,15.55 ,12.57 ,12.79 ,14.7  ,13.61 ,11.56 ,11.46 ,19.08 ,-0.12 ,-0.03 ,-0.1  ,0.03
    82 ,11.3  ,  143.83 ,1009.08 ,24.91 ,920.15 ,1.179 ,-1412.74 ,-1017.58 ,-1066.54 ,-668.06 ,-546.75 ,-450.41 ,-390.06 ,-352.35 ,-312.04 ,-277.93 ,-235.9  ,-222.18 ,-199.07 ,-176.52 ,-157.04 ,-131.29 ,-102.76 ,-81.71  ,-62.63  ,-53     ,-40.86  ,-25.43  ,-17.61 ,-14.28 ,-3.69  ,-1415.65 ,-14.67  ,294.28  ,273.47  ,215.2   ,175.61  ,147.29  ,128.75  ,113.37  ,100.12  ,88.99  ,79.64  ,70.16  ,63.98  ,57.45  ,51.43  ,46.29  ,42.62  ,39.06  ,37.16  ,35.6   ,34.39 ,34.02 ,-3.69  ,305.1  ,304.67 ,303.32 ,304.63 ,305.31 ,304.81 ,304.79 ,304.13 ,306.21 ,306.04 ,305.7  ,303.25 ,304.93 ,303.63 ,305.28 ,303.88 ,304.63 ,304.13 ,300.7  ,289.69 ,265.9  ,241.93 ,222.61 ,215.31 ,229.47 ,253.72 ,277.89 ,294.48 ,301.88 ,304.84 ,304.05 ,306.89 ,306.19 ,308.99 ,305.64 ,303.94 ,304.2  ,304.18 ,302.8  ,304.65 ,302.59 ,307.03 ,304.82 ,304.02 ,304.55 ,307.21 ,306.63 ,306.75 , 9.85 ,18.67 ,19.43 ,17.85 ,15.82 ,12.95 ,13.32 ,14.86 ,13.9  ,11.8  ,11.68 ,19.36 ,-0.13 ,-0.08 ,-0.15 ,0.12
    83 ,11.1  ,  144.69 ,1009.12 ,24.9  ,920.34 ,1.179 ,-1361.74 ,-973     ,-1090.7  ,-624.13 ,-540.53 ,-449.87 ,-392.54 ,-354.34 ,-314.46 ,-280.38 ,-239.11 ,-225.41 ,-203.9  ,-180.91 ,-161.61 ,-134.95 ,-106.31 ,-85.04  ,-64.69  ,-54.46  ,-40.66  ,-23.83  ,-14.72 ,-10.06 ,0.28   ,-1363.66 ,4.92    ,299.93  ,275.58  ,215.67  ,175.61  ,147.16  ,128.64  ,113.29  ,100.08  ,89.01  ,79.73  ,70.11  ,64.26  ,57.82  ,51.93  ,46.92  ,43.38  ,40.05  ,38.31  ,36.99  ,36.12 ,36.03 ,0.28   ,309.34 ,308.87 ,307.55 ,308.72 ,309.51 ,309.49 ,309.24 ,308.57 ,310.41 ,310.43 ,310.12 ,307.55 ,309.11 ,308.14 ,309.38 ,308.24 ,309.46 ,308.6  ,306.99 ,297.33 ,274.29 ,250.07 ,229.27 ,219.93 ,232.43 ,255.95 ,280.96 ,298.07 ,306.18 ,309.05 ,307.99 ,311.34 ,306.48 ,309.09 ,306.12 ,304.52 ,304.65 ,304.58 ,303.34 ,304.97 ,303.26 ,307.46 ,305.32 ,304.47 ,304.97 ,307.32 ,307.13 ,307.22 , 9.16 ,17.94 ,18.7  ,17.11 ,15.24 ,12.53 ,12.89 ,14.25 ,13.15 ,11.05 ,10.96 ,18.63 ,-0.52 ,-0.08 ,-0.14 ,0.11
    84 ,10.9  ,  144.15 ,1009.1  ,24.88 ,919.99 ,1.18  ,-1295.16 ,-921.42  ,-1021.89 ,-585.03 ,-517.7  ,-433.96 ,-377.43 ,-340.68 ,-304.03 ,-270.78 ,-230.67 ,-217.53 ,-196.64 ,-175.23 ,-157.09 ,-130.91 ,-103.26 ,-82.29  ,-62.41  ,-52.28  ,-38.05  ,-20.6   ,-12.22 ,-7.04  ,3.67   ,-1296.57 ,13.52   ,294.01  ,267.89  ,209.8   ,170.73  ,143.08  ,125.4   ,110.52  ,97.79   ,87.06  ,78.22  ,68.95  ,63.31  ,57.07  ,51.47  ,46.69  ,43.32  ,40.14  ,38.59  ,37.38  ,36.64 ,36.61 ,3.67   ,302.11 ,301.02 ,300.58 ,301.57 ,302.29 ,301.96 ,301.89 ,301.24 ,303.17 ,302.98 ,302.59 ,300.32 ,301.88 ,300.73 ,302.48 ,300.97 ,301.64 ,301.63 ,299.92 ,291.96 ,270.06 ,246.19 ,225.56 ,215.73 ,228.47 ,251.78 ,275.95 ,292.38 ,299.18 ,301.94 ,300.81 ,303.95 ,304.18 ,307.93 ,303.77 ,302.27 ,302.42 ,302.41 ,301.03 ,302.83 ,300.79 ,305.2  ,302.94 ,302.18 ,302.76 ,304.73 ,304.82 ,305.19 ,10.07 ,18.77 ,19.51 ,17.96 ,16.22 ,13.7  ,14.25 ,15.31 ,14.01 ,11.92 ,11.88 ,19.46 ,-0.31 ,-0.08 ,-0.15 ,0.11
    85 ,10.7  ,  144.69 ,1009.12 ,24.9  ,919.62 ,1.179 ,-1307.67 ,-908.18  ,-1015.24 ,-592.56 ,-528.02 ,-441.98 ,-385.66 ,-348.11 ,-310.36 ,-277.56 ,-237.68 ,-223.83 ,-202.69 ,-180.58 ,-163.96 ,-135.81 ,-107.53 ,-86.29  ,-65.36  ,-54.85  ,-40.25  ,-23.4   ,-12.43 ,-7.05  ,4.4    ,-1309.86 ,19.11   ,298.72  ,271.61  ,211.76  ,171.9   ,143.64  ,125.68  ,110.62  ,97.74   ,86.89  ,77.94  ,68.71  ,62.89  ,56.64  ,50.96  ,46.12  ,42.86  ,39.67  ,38.16  ,37.05  ,36.4  ,36.54 ,4.4    ,306.97 ,305.92 ,305.16 ,306.28 ,307.19 ,306.89 ,306.37 ,306.14 ,307.96 ,307.92 ,307.64 ,305.07 ,306.81 ,305.45 ,307.06 ,305.82 ,306.67 ,306.33 ,305.4  ,298.07 ,277.52 ,253.47 ,230.45 ,218.06 ,229.13 ,252.14 ,277.29 ,295.85 ,303.67 ,306.63 ,305.71 ,308.9  ,306.74 ,309.58 ,306.39 ,304.73 ,304.97 ,304.95 ,303.59 ,305.46 ,303.21 ,307.69 ,305.41 ,304.71 ,305.24 ,307.18 ,307.33 ,307.33 , 9.96 ,18.71 ,19.46 ,17.91 ,16.28 ,13.94 ,14.7  ,15.49 ,13.86 ,11.79 ,11.77 ,19.4  ,-0.23 ,-0.06 ,-0.2  ,0.06
    86 ,10.5  ,  144.24 ,1009.12 ,24.93 ,919.88 ,1.179 ,-1404.43 ,-790.31  ,-905.42  ,-585.75 ,-503.13 ,-426.54 ,-373.31 ,-338.14 ,-302.96 ,-271.62 ,-232.7  ,-220.83 ,-200.65 ,-179.13 ,-164.23 ,-137.31 ,-108.91 ,-88.08  ,-66.83  ,-55.67  ,-39.85  ,-21.82  ,-9.62  ,-3.11  ,10.07  ,-1409.06 ,50.95   ,296.63  ,262.25  ,203.23  ,163.97  ,138.12  ,119.96  ,105.49  ,93.23   ,82.81  ,74.37  ,65.68  ,60.12  ,54.14  ,48.92  ,44.41  ,41.55  ,38.74  ,37.58  ,36.85  ,36.62 ,37.15 ,10.07  ,302.58 ,301.56 ,300.87 ,301.93 ,302.93 ,302.47 ,301.73 ,301.82 ,303.5  ,303.48 ,303.16 ,300.57 ,302.3  ,301.17 ,302.84 ,301.48 ,302.13 ,302.35 ,302.38 ,298.03 ,280.07 ,257.48 ,233.65 ,219.69 ,228.88 ,250.77 ,275.61 ,293.47 ,300.04 ,302.34 ,301.33 ,304.36 ,306.03 ,308.36 ,305.54 ,304.11 ,304.22 ,304.07 ,302.88 ,304.45 ,302.52 ,306.85 ,304.65 ,303.9  ,304.56 ,306.37 ,306.54 ,306.76 , 8.48 ,17.13 ,17.88 ,16.34 ,14.73 ,12.51 ,13.3  ,13.83 ,12.32 ,10.28 ,10.27 ,17.85 ,-1.45 ,-0.06 ,-0.2  ,0.01
