aoa,cd
-5.0,0.02704017388813413
-4.0,0.01690505272432635
-3.0,0.02528731109075195
-2.0,0.012399958041827905
-1.0,0.010948835916937318
0.0,0.022459936967238917
1.0,0.010452142870051624
2.0,0.01645498114489776
3.0,0.012871253326876811
3.5,0.012524419210242851
4.0,0.012681746311406006
4.5,0.015316395755840291
5.0,0.014158202942762453
5.5,0.020150419337392835
6.0,0.011271908898720658
6.5,0.02378057087702728
6.6,0.02113224981171324
6.7,0.002078014524197163
6.8,0.010594178566985954
6.9,0.01529660899326537
7.0,0.013615221824996126
7.1,0.010942537052521274
7.2,-0.0007267103988018597
7.3,0.022331173715825957
7.4,0.009069874048324315
7.6,0.008592406490007242
7.8,0.0195046417240229
8.0,0.014737856157442141
8.2,0.014548949829478752
8.4,0.022060881757423826
8.6,0.01810169206043357
8.8,0.01905082946117484
9.0,0.006593495608457872
9.2,0.03439593946252605
9.2,0.03439593946252605
9.3,0.021628549392655985
9.4,0.02726865257852966
9.5,0.01589691109643071
9.6,0.01927561642198523
9.7,0.01925356168296199
9.8,0.01833241680405192
9.9,0.01727482760235663
10.0,0.017896432077764843
10.1,0.019096182044523152
10.3,0.020939030858873303
10.5,0.026891498655366337
10.7,0.020808011020053807
10.9,0.028211743891757582
11.1,0.02286903788713758
11.3,0.028840126210052282
11.5,0.022960119371232608
11.7,0.026160147310997785
11.9,0.03367800527114874
12.1,0.04111058584341597
12.3,0.03546891462773449
12.5,0.03324396399073079
12.7,0.03583649194707122
12.9,0.042729820531687855
13.3,0.030247945107207068
13.5,0.03690788371291746
13.5,0.03690788371291746
13.7,0.03595269658485257
13.7,0.03595269658485257
13.9,0.036455730050318186
14.1,0.03159113316983861
14.3,0.07060982969181194
14.1,0.03159113316983861
13.9,0.036455730050318186
13.7,0.03595269658485257
13.5,0.03690788371291746
13.3,0.030247945107207068
13.1,0.03141092335058148
12.9,0.042729820531687855
12.7,0.03583649194707122
12.5,0.03324396399073079
12.3,0.03546891462773449
12.1,0.04111058584341597
11.9,0.03367800527114874
11.7,0.026160147310997785
11.5,0.022960119371232608
11.3,0.028840126210052282
11.1,0.02286903788713758
10.9,0.028211743891757582
10.7,0.020808011020053807
10.5,0.026891498655366337
