aoa,c_l
-0.27931828483150106,-5.0
-0.19062528006950036,-4.0
-0.11384989159077645,-3.0
-0.04525598020191021,-2.0
0.038342186767966205,-1.0
0.133931412657462,0.0
0.2676209552706744,1.0
0.349053219584398,2.0
0.43623302905881806,3.0
0.48207359600926664,3.5
0.5199370418093713,4.0
0.5692130604932367,4.5
0.6066528719380885,5.0
0.653932511159114,5.5
0.7075539780310125,6.0
0.7294310243253911,6.5
0.7438707454218442,6.6
0.7655707151627268,6.7
0.7742010092562376,6.8
0.7778788575174663,6.9
0.7811831790236823,7.0
0.7828054587546451,7.1
0.8257670785140306,7.2
0.793621549948693,7.3
0.8181572184409784,7.4
0.8411222390171045,7.6
0.8343186427845353,7.8
0.8562435299103434,8.0
0.8613921603240232,8.2
0.8641382237330124,8.4
0.8926689380054486,8.6
0.9119580565562971,8.8
0.9502098284427161,9.0
0.9163826070162164,9.2
0.9163826070162164,9.2
0.9519193440530181,9.3
0.945527491877036,9.4
0.9617271129512275,9.5
0.9590483470672854,9.6
0.9577588008096121,9.7
0.965590362549524,9.8
0.973059266963915,9.9
0.9796011942613386,10.0
0.9787194239272986,10.1
0.9760571713101692,10.3
0.9883338866213586,10.5
0.9934284162555951,10.7
0.9895092175637352,10.9
1.018138145098133,11.1
1.0155889375001204,11.3
1.024527676188499,11.5
1.0173238285807307,11.7
0.9932907267007736,11.9
0.9782080562788511,12.1
0.9724738311354442,12.3
0.972382742545015,12.5
0.9540257233805356,12.7
0.9312231423073007,12.9
0.9280517592104023,13.3
0.8997593972029615,13.5
0.8997593972029615,13.5
0.8908100895558619,13.7
0.8908100895558619,13.7
0.8719853155086231,13.9
0.8655961973933145,14.1
0.97430449576439,14.3
0.8655961973933145,14.1
0.8719853155086231,13.9
0.8908100895558619,13.7
0.8997593972029615,13.5
0.9280517592104023,13.3
0.9188092161960575,13.1
0.9312231423073007,12.9
0.9540257233805356,12.7
0.972382742545015,12.5
0.9724738311354442,12.3
0.9782080562788511,12.1
0.9932907267007736,11.9
1.0173238285807307,11.7
1.024527676188499,11.5
1.0155889375001204,11.3
1.018138145098133,11.1
0.9895092175637352,10.9
0.9934284162555951,10.7
0.9883338866213586,10.5
