x_u,c_p_u,x_l,c_p_l
0.0,0.9483543718147648,0.0,0.9484621165189063
0.5700160000000001,0.5179861085715978,0.689968,0.06107673320820212
2.133296,0.31560563929218144,2.354352,-0.2503054617611926
5.857728000000001,-0.18691566082451652,6.279664,-0.32446973311203464
11.667520000000001,-0.3844117035161776,12.472096,-0.32310496685957363
18.169664,-0.45038737735225354,19.222880000000004,-0.30130462172157796
24.946160000000003,-0.4797298517801653,26.116416,-0.28622036314174565
31.861248000000003,-0.5264910533776455,33.072208,-0.27652333976899635
38.855088,-0.5268861172928314,40.060672000000004,-0.2662157630727776
45.898032,-0.5194876476084375,47.064864,-0.25598001617932004
52.968288,-0.46658499787488306,54.076352,-0.24718086534108452
60.050048000000004,-0.5018175161292056,61.09880000000001,-0.23712469295452968
67.135856,-0.495352833880706,68.12043200000001,-0.23127056402949955
74.220688,-0.4659026147486525,75.140448,-0.21697643328003943
81.30496000000001,-0.4560260168690004,82.16099200000001,-0.20702800559762624
88.39776,-0.41203026267782294,89.17859200000001,-0.19463736462133546
95.507568,-0.35629033573520463,96.1932,-0.17994816995668925
102.61896,-0.344366588476861,103.208032,-0.16227803847745714
109.7264,-0.31743041244144626,110.22416000000001,-0.14543394972997778
116.83841600000001,-0.32974922361497594,117.248176,-0.1243159877182126
123.957712,-0.3268401166031511,124.28452800000001,-0.10732823936521102
131.089824,-0.16145199574570443,131.32744,-0.09271087450332594
138.21742400000002,-0.017792390223492317,138.367648,-0.0809667017518851
145.29728,0.013704978287252688,160.0,0.02372523577242698
