x_u,c_p_u,x_l,c_p_l
0.0,-0.42050667402797215,0.0,-0.4208266720272275
0.5700160000000001,0.7442149325951835,0.689968,-2.1891711712458197
2.133296,0.9460981147920905,2.354352,-2.059465315547631
5.857728000000001,0.48633210052858145,6.279664,-1.2016573455436546
11.667520000000001,0.1992227845299863,12.472096,-0.8608239210034029
18.169664,0.03826379090451999,19.222880000000004,-0.735384705295286
24.946160000000003,-0.0819487908157587,26.116416,-0.6443986075070005
31.861248000000003,-0.15753942930653436,33.072208,-0.5744257116698197
38.855088,-0.197041404547951,40.060672000000004,-0.5239726937872181
45.898032,-0.230996747802274,47.064864,-0.47952852722396816
52.968288,-0.2083124451883912,54.076352,-0.4423732039770911
60.050048000000004,-0.26868540104791006,61.09880000000001,-0.40895119072152714
67.135856,-0.28870305366799787,68.12043200000001,-0.38217802478382534
74.220688,-0.2901252669980219,75.140448,-0.34968045019277694
81.30496000000001,-0.30232074630297767,82.16099200000001,-0.32201840092381007
88.39776,-0.27572535703152884,89.17859200000001,-0.2960985629841226
95.507568,-0.2300367538045078,96.1932,-0.26729874305113666
102.61896,-0.2045791351970782,103.208032,-0.2371122651213772
109.7264,-0.16692603728469277,110.22416000000001,-0.20582357186084918
116.83841600000001,-0.16433049795739896,117.248176,-0.16952157661198658
123.957712,-0.14381507067180274,124.28452800000001,-0.13414402002763953
131.089824,-0.11924633539563811,131.32744,-0.09677536478125891
138.21742400000002,-0.10559308742740772,138.367648,-0.05841116020386148
145.29728,-0.11302415207678312,160.0,-0.012829222976592258
